year,region_code,region,exiobase_code,exiobase_category,ef_kgco23_per_mil_euros,ef_kgco2e_per_euro,market
2022,BG,Bulgaria,p62,Air transport services,820034.82,0.82003482,"EMEA (Europe, the Middle East and Africa)"
2022,CY,Cyprus,p62,Air transport services,794764.34,0.79476434,"EMEA (Europe, the Middle East and Africa)"
2022,CZ,Czech Republic,p62,Air transport services,1507588.87,1.50758887,"EMEA (Europe, the Middle East and Africa)"
2022,DE,Germany,p62,Air transport services,756836.85,0.75683685,"EMEA (Europe, the Middle East and Africa)"
2022,DK,Denmark,p62,Air transport services,410295.32,0.41029532,"EMEA (Europe, the Middle East and Africa)"
2022,EE,Estonia,p62,Air transport services,2149960.23,2.14996023,"EMEA (Europe, the Middle East and Africa)"
2022,ES,Spain,p62,Air transport services,1148356.84,1.14835684,"EMEA (Europe, the Middle East and Africa)"
2022,FI,Finland,p62,Air transport services,1308532.42,1.30853242,"EMEA (Europe, the Middle East and Africa)"
2022,FR,France,p62,Air transport services,1272488.51,1.27248851,"EMEA (Europe, the Middle East and Africa)"
2022,GR,Greece,p62,Air transport services,1457299.41,1.45729941,"EMEA (Europe, the Middle East and Africa)"
2022,HR,Croatia,p62,Air transport services,1096808.54,1.09680854,"EMEA (Europe, the Middle East and Africa)"
2022,HU,Hungary,p62,Air transport services,926097.95,0.92609795,"EMEA (Europe, the Middle East and Africa)"
2022,IE,Ireland,p62,Air transport services,743221.1,0.7432211,"EMEA (Europe, the Middle East and Africa)"
2022,IT,Italy,p62,Air transport services,1187062.51,1.18706251,"EMEA (Europe, the Middle East and Africa)"
2022,LT,Lithuania,p62,Air transport services,871839.44,0.87183944,"EMEA (Europe, the Middle East and Africa)"
2022,LU,Luxembourg,p62,Air transport services,1977971.63,1.97797163,"EMEA (Europe, the Middle East and Africa)"
2022,LV,Latvia,p62,Air transport services,1598902.93,1.59890293,"EMEA (Europe, the Middle East and Africa)"
2022,MT,Malta,p62,Air transport services,511655.42,0.51165542,"EMEA (Europe, the Middle East and Africa)"
2022,NL,Netherlands,p62,Air transport services,1666136.24,1.66613624,"EMEA (Europe, the Middle East and Africa)"
2022,PL,Poland,p62,Air transport services,657879.11,0.65787911,"EMEA (Europe, the Middle East and Africa)"
2022,PT,Portugal,p62,Air transport services,1351565.01,1.35156501,"EMEA (Europe, the Middle East and Africa)"
2022,RO,Romania,p62,Air transport services,931783.35,0.93178335,"EMEA (Europe, the Middle East and Africa)"
